"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 05 17:39:46 EEST 2022","Fri Aug 05 17:39:52 EEST 2022","5786","chromium","redmine.spec.js","Search feature with invalid credentials  ","","","Fill in ""Search"" field: ""***###""",""
"passed","Thu Aug 04 11:23:03 EEST 2022","Thu Aug 04 11:23:06 EEST 2022","2260","chromium","demo-todo-app.spec.js","Clear completed button","","","should remove completed items when clicked",""
"broken","Thu Aug 04 18:51:26 EEST 2022","Thu Aug 04 18:51:57 EEST 2022","30288","chromium","redmine.spec.js","Сlickability and display accuracy header  menu  ","","","click on Activity link",""
"passed","Thu Aug 04 11:22:48 EEST 2022","Thu Aug 04 11:22:50 EEST 2022","1904","chromium","demo-todo-app.spec.js","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Aug 04 11:22:55 EEST 2022","Thu Aug 04 11:22:58 EEST 2022","3216","chromium","demo-todo-app.spec.js","Item","","","should allow me to un-mark items as complete",""
"passed","Fri Aug 05 17:39:36 EEST 2022","Fri Aug 05 17:39:46 EEST 2022","9566","chromium","redmine.spec.js","Search feature with valid credentials  ","","","Fill in ""Search"" field: ""wiki""",""
"passed","Thu Aug 04 18:51:19 EEST 2022","Thu Aug 04 18:51:26 EEST 2022","7895","chromium","redmine.spec.js","Сlickability and display accuracy header  menu  ","","","click on Download link",""
"passed","Thu Aug 04 11:23:08 EEST 2022","Thu Aug 04 11:23:10 EEST 2022","2110","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display completed items",""
"passed","Thu Aug 04 11:23:00 EEST 2022","Thu Aug 04 11:23:01 EEST 2022","1708","chromium","demo-todo-app.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Aug 04 11:23:07 EEST 2022","Thu Aug 04 11:23:10 EEST 2022","2217","chromium","demo-todo-app.spec.js","Routing","","","should respect the back button",""
"passed","Thu Aug 04 11:22:57 EEST 2022","Thu Aug 04 11:22:59 EEST 2022","1747","chromium","demo-todo-app.spec.js","Editing","","","should hide other controls when editing",""
"failed","Fri Aug 05 12:28:37 EEST 2022","Fri Aug 05 12:28:47 EEST 2022","9965","chromium","redmine.spec.js","Password recovery","","","7",""
"passed","Thu Aug 04 11:22:58 EEST 2022","Thu Aug 04 11:23:00 EEST 2022","1845","chromium","demo-todo-app.spec.js","Editing","","","should save edits on blur",""
"passed","Thu Aug 04 11:22:43 EEST 2022","Thu Aug 04 11:22:48 EEST 2022","5532","chromium","demo-todo-app.spec.js","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Aug 04 11:22:50 EEST 2022","Thu Aug 04 11:22:53 EEST 2022","2618","chromium","demo-todo-app.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Aug 04 11:22:52 EEST 2022","Thu Aug 04 11:22:55 EEST 2022","2346","chromium","demo-todo-app.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Aug 04 11:22:53 EEST 2022","Thu Aug 04 11:22:55 EEST 2022","1924","chromium","demo-todo-app.spec.js","Item","","","should allow me to mark items as complete",""
"passed","Fri Aug 05 12:28:00 EEST 2022","Fri Aug 05 12:28:04 EEST 2022","4519","chromium","redmine.spec.js","Password recovery","","","2",""
"failed","Thu Aug 04 17:19:39 EEST 2022","Thu Aug 04 17:19:53 EEST 2022","14701","chromium","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Thu Aug 04 11:23:10 EEST 2022","Thu Aug 04 11:23:12 EEST 2022","1894","chromium","demo-todo-app.spec.js","Routing","","","should highlight the currently applied filter",""
"failed","Fri Aug 05 12:28:00 EEST 2022","Fri Aug 05 12:28:05 EEST 2022","4298","chromium","redmine.spec.js","Password recovery","","","3",""
"passed","Fri Aug 05 12:27:37 EEST 2022","Fri Aug 05 12:28:00 EEST 2022","23018","chromium","redmine.spec.js","Сlickability and display accuracy header  menu  ","","","click on Overview link",""
"passed","Thu Aug 04 11:23:01 EEST 2022","Thu Aug 04 11:23:02 EEST 2022","1612","chromium","demo-todo-app.spec.js","Editing","","","should cancel edits on escape",""
"passed","Thu Aug 04 11:22:50 EEST 2022","Thu Aug 04 11:22:52 EEST 2022","2739","chromium","demo-todo-app.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Aug 04 11:23:01 EEST 2022","Thu Aug 04 11:23:03 EEST 2022","2011","chromium","demo-todo-app.spec.js","Counter","","","should display the current number of todo items",""
"passed","Fri Aug 05 17:39:36 EEST 2022","Fri Aug 05 17:39:57 EEST 2022","20948","chromium","redmine.spec.js","Check clickability of header menu","","","Click  on links of header menu",""
"passed","Thu Aug 04 11:23:05 EEST 2022","Thu Aug 04 11:23:06 EEST 2022","1880","chromium","demo-todo-app.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
